	entry_ac	go_id	go_descr
82886	Q8IWW6	0005737	cytoplasm
82887	Q8IWW6	0005829	cytosol
82888	Q8IWW6	0001891	phagocytic cup
82889	Q8IWW6	0005096	GTPase activator activity
82890	Q8IWW6	0007015	actin filament organization
82891	Q8IWW6	0002011	morphogenesis of an epithelial sheet
82892	Q8IWW6	0051058	negative regulation of small GTPase mediated signal transduction
82893	Q8IWW6	0006911	phagocytosis, engulfment
82894	Q8IWW6	0043087	regulation of GTPase activity
82895	Q8IWW6	0051056	regulation of small GTPase mediated signal transduction
82896	Q8IWW6	0007165	signal transduction
