	OddRatio	p-value	depth	go_descr	score
0010976	7.945736434108527	0.15454782576613313	7	positive regulation of neuron projection development	-1.0
0045944	3.9612403100775193	0.25488611800454736	8	positive regulation of transcription by RNA polymerase II	-1.0
0005654	1.0634249471458774	1.0	2	nucleoplasm	-1.0
0032991	3.39202657807309	0.2856701657112887	1	protein-containing complex	-1.0
0042393	23.88372093023256	0.08044162938809642	3	histone binding	-1.0
0050760	23.88372093023256	0.08044162938809642	7	negative regulation of thymidylate synthase biosynthetic process	-1.0
0005634	0.8962432915921288	1.0	5	nucleus	-1.0
0000122	2.6330749354005167	0.3435551397638387	8	negative regulation of transcription by RNA polymerase II	-1.0
0045739	23.88372093023256	0.08044162938809642	6	positive regulation of DNA repair	-1.0
0006974	5.953488372093023	0.08044162938809642	4	cellular response to DNA damage stimulus	-1.0
1990812	23.88372093023256	0.08044162938809642	5	growth cone filopodium	-1.0
0043967	23.88372093023256	0.08044162938809642	7	histone H4 acetylation	-1.0
0044304	23.88372093023256	0.08044162938809642	2	main axon	-1.0
0016607	2.6330749354005167	0.3435551397638387	3	nuclear speck	-1.0
0006355	4.758139534883721	0.15454782576613313	6	regulation of transcription, DNA-templated	-1.0
0008134	7.945736434108527	0.15454782576613313	3	transcription factor binding	-1.0
0003682	7.945736434108527	0.15454782576613313	2	chromatin binding	-1.0
0005783	23.88372093023256	0.08044162938809642	5	endoplasmic reticulum	-1.0
0070064	3.9612403100775193	0.25488611800454736	3	proline-rich region binding	-1.0
0045202	7.945736434108527	0.15454782576613313	2	synapse	-1.0
0006302	23.88372093023256	0.08044162938809642	6	double-strand break repair	-1.0
0043025	11.930232558139535	0.1182552446282841	3	neuronal cell body	-1.0
0045211	7.945736434108527	0.15454782576613313	5	postsynaptic membrane	-1.0
0006915	5.953488372093023	0.18937918874945703	4	apoptotic process	-1.0
0043197	5.953488372093023	0.18937918874945703	3	dendritic spine	-1.0
0007409	23.88372093023256	0.08044162938809642	7	axonogenesis	-1.0
0007165	2.3674418604651164	0.3707524786055495	2	signal transduction	-1.0
0043065	11.930232558139535	0.1182552446282841	7	positive regulation of apoptotic process	-1.0
0005737	0.8011226944667201	1.0	2	cytoplasm	-1.0
0045893	7.945736434108527	0.15454782576613313	7	positive regulation of transcription, DNA-templated	-1.0
0005886	1.6843853820598007	0.46894769931115315	3	plasma membrane	-1.0
1990761	23.88372093023256	0.08044162938809642	5	growth cone lamellipodium	-1.0
0007050	11.930232558139535	0.1182552446282841	3	cell cycle arrest	-1.0
0001540	11.930232558139535	0.1182552446282841	4	amyloid-beta binding	-1.0
0048471	5.953488372093023	0.18937918874945703	2	perinuclear region of cytoplasm	-1.0
0030027	23.88372093023256	0.08044162938809642	4	lamellipodium	-1.0
0031625	23.88372093023256	0.08044162938809642	5	ubiquitin protein ligase binding	-1.0
0030308	23.88372093023256	0.08044162938809642	5	negative regulation of cell growth	-1.0
0030426	11.930232558139535	0.1182552446282841	3	growth cone	-1.0
0048156	11.930232558139535	0.1182552446282841	4	tau protein binding	-1.0
0050714	23.88372093023256	0.08044162938809642	6	positive regulation of protein secretion	-1.0
0044877	11.930232558139535	0.1182552446282841	2	protein-containing complex binding	-1.0
0042734	23.88372093023256	0.08044162938809642	5	presynaptic membrane	-1.0
0010039	23.88372093023256	0.08044162938809642	5	response to iron ion	-1.0
