	OddRatio	p-value	depth	name	score
1837	45.695402298850574	0.0011408528577549013	1	diabetic ketoacidosis	6.775979175441002
4752	101.13135593220339	0.012474374939433618	1	multiple system atrophy	4.384078743655277
1793	13.684482758620689	0.010613675660790805	2	pancreatic cancer	4.545611952722734
14748	134.84745762711864	0.009991803292293494	2	Sotos syndrome	4.605990192872509
4074	22.46045197740113	0.0465942868239177	1	pancreatic adenocarcinoma	3.066277345711687
263	22.46045197740113	0.0465942868239177	2	kidney cancer	3.066277345711687
9256	7.799671052631579	0.007991100399107724	2	colorectal cancer	4.829426806645746
1826	6.106037151702786	0.015207897094932345	1	epilepsy	4.185940440327822
2649	404.5762711864407	0.005008234863960873	1	chondroblastoma	5.296671748528239
678	67.41525423728814	0.017421167481939916	1	progressive supranuclear palsy	4.0500692901743385
14731	67.41525423728814	0.017421167481939916	2	Weaver syndrome	4.0500692901743385
10933	36.76425269645608	0.029681792884508763	1	obsessive-compulsive disorder	3.5172214553473977
4467	80.90169491525424	0.014950824722139192	1	clear cell renal cell carcinoma	4.202988815306513
3717	57.7820823244552	0.01988541802246457	2	gastric adenocarcinoma	3.9177685785437153
