	entry_ac	go_id	go_descr
37424	Q6IQ23	0030054	cell junction
37425	Q6IQ23	0005813	centrosome
37426	Q6IQ23	0005829	cytosol
37427	Q6IQ23	0070062	extracellular exosome
37428	Q6IQ23	0005654	nucleoplasm
37429	Q6IQ23	0046930	pore complex
37430	Q6IQ23	0005915	zonula adherens
37431	Q6IQ23	0070097	delta-catenin binding
37432	Q6IQ23	0044331	cell-cell adhesion mediated by cadherin
37433	Q6IQ23	0090136	epithelial cell-cell adhesion
37434	Q6IQ23	0046931	pore complex assembly
37435	Q6IQ23	0045218	zonula adherens maintenance
