	entry_ac	go_id	go_descr
216513	O95817	0016235	aggresome
216514	O95817	0005623	cell
216515	O95817	0101031	chaperone complex
216516	O95817	0005737	cytoplasm
216517	O95817	0005829	cytosol
216518	O95817	0043005	neuron projection
216519	O95817	0005634	nucleus
216520	O95817	0005886	plasma membrane
216521	O95817	0001725	stress fiber
216522	O95817	0030018	Z disc
216523	O95817	0000774	adenyl-nucleotide exchange factor activity
216524	O95817	0045296	cadherin binding
216525	O95817	0051087	chaperone binding
216526	O95817	0045505	dynein intermediate chain binding
216527	O95817	0044877	protein-containing complex binding
216528	O95817	0070842	aggresome assembly
216529	O95817	0000045	autophagosome assembly
216530	O95817	0007420	brain development
216531	O95817	0034605	cellular response to heat
216532	O95817	0071260	cellular response to mechanical stimulus
216533	O95817	0034620	cellular response to unfolded protein
216534	O95817	0061684	chaperone-mediated autophagy
216535	O95817	0072321	chaperone-mediated protein transport
216536	O95817	0097192	extrinsic apoptotic signaling pathway in absence of ligand
216537	O95817	0008625	extrinsic apoptotic signaling pathway via death domain receptors
216538	O95817	0046716	muscle cell cellular homeostasis
216539	O95817	0043066	negative regulation of apoptotic process
216540	O95817	1903215	negative regulation of protein targeting to mitochondrion
216541	O95817	0010664	negative regulation of striated muscle cell apoptotic process
216542	O95817	0097201	negative regulation of transcription from RNA polymerase II promoter in response to stress
216543	O95817	1905337	positive regulation of aggrephagy
216544	O95817	0046827	positive regulation of protein export from nucleus
216545	O95817	0042307	positive regulation of protein import into nucleus
216546	O95817	0006457	protein folding
216547	O95817	0050821	protein stabilization
216548	O95817	0098840	protein transport along microtubule
216549	O95817	1900034	regulation of cellular response to heat
216550	O95817	0021510	spinal cord development
238923	Q96J02	0005737	cytoplasm
238924	Q96J02	0005829	cytosol
238925	Q96J02	0031901	early endosome membrane
238926	Q96J02	0070062	extracellular exosome
238927	Q96J02	0043231	intracellular membrane-bounded organelle
238928	Q96J02	0016020	membrane
238929	Q96J02	0005654	nucleoplasm
238930	Q96J02	0005886	plasma membrane
238931	Q96J02	0032991	protein-containing complex
238932	Q96J02	1990763	arrestin family protein binding
238933	Q96J02	0045236	CXCR chemokine receptor binding
238934	Q96J02	0043021	ribonucleoprotein complex binding
238935	Q96J02	0061630	ubiquitin protein ligase activity
238936	Q96J02	0044389	ubiquitin-like protein ligase binding
238937	Q96J02	0004842	ubiquitin-protein transferase activity
238938	Q96J02	0006915	apoptotic process
238939	Q96J02	0051607	defense response to virus
238940	Q96J02	0006954	inflammatory response
238941	Q96J02	0045087	innate immune response
238942	Q96J02	0043066	negative regulation of apoptotic process
238943	Q96J02	0050687	negative regulation of defense response to virus
238944	Q96J02	0046329	negative regulation of JNK cascade
238945	Q96J02	0032088	negative regulation of NF-kappaB transcription factor activity
238946	Q96J02	0032480	negative regulation of type I interferon production
238947	Q96J02	0007219	Notch signaling pathway
238948	Q96J02	0070423	nucleotide-binding oligomerization domain containing signaling pathway
238949	Q96J02	0045732	positive regulation of protein catabolic process
238950	Q96J02	2000646	positive regulation of receptor catabolic process
238951	Q96J02	0043161	proteasome-mediated ubiquitin-dependent protein catabolic process
238952	Q96J02	0051865	protein autoubiquitination
238953	Q96J02	0035519	protein K29-linked ubiquitination
238954	Q96J02	0070936	protein K48-linked ubiquitination
238955	Q96J02	0070534	protein K63-linked ubiquitination
238956	Q96J02	0000209	protein polyubiquitination
238957	Q96J02	0016567	protein ubiquitination
238958	Q96J02	0001558	regulation of cell growth
238959	Q96J02	1902036	regulation of hematopoietic stem cell differentiation
238960	Q96J02	0090085	regulation of protein deubiquitination
238961	Q96J02	0006511	ubiquitin-dependent protein catabolic process
238962	Q96J02	0046718	viral entry into host cell
