	entry_ac	go_id	go_descr
185107	P01906	0030669	clathrin-coated endocytic vesicle membrane
185108	P01906	0030666	endocytic vesicle membrane
185109	P01906	0010008	endosome membrane
185110	P01906	0012507	ER to Golgi transport vesicle membrane
185111	P01906	0000139	Golgi membrane
185112	P01906	0071556	integral component of lumenal side of endoplasmic reticulum membrane
185113	P01906	0005887	integral component of plasma membrane
185114	P01906	0005765	lysosomal membrane
185115	P01906	0042613	MHC class II protein complex
185116	P01906	0005886	plasma membrane
185117	P01906	0032588	trans-Golgi network membrane
185118	P01906	0030658	transport vesicle membrane
185119	P01906	0032395	MHC class II receptor activity
185120	P01906	0002250	adaptive immune response
185121	P01906	0019886	antigen processing and presentation of exogenous peptide antigen via MHC class II
185122	P01906	0006955	immune response
185123	P01906	0060333	interferon-gamma-mediated signaling pathway
185124	P01906	0050852	T cell receptor signaling pathway
