	entry_ac	go_id	go_descr
158584	Q9H4Z3	0045171	intercellular bridge
158585	Q9H4Z3	0015630	microtubule cytoskeleton
158586	Q9H4Z3	0005654	nucleoplasm
158587	Q9H4Z3	0005634	nucleus
158588	Q9H4Z3	0016422	mRNA (2'-O-methyladenosine-N6-)-methyltransferase activity
158589	Q9H4Z3	0099122	RNA polymerase II C-terminal domain binding
158590	Q9H4Z3	1904047	S-adenosyl-L-methionine binding
158591	Q9H4Z3	0080009	mRNA methylation
158592	Q9H4Z3	0010923	negative regulation of phosphatase activity
158593	Q9H4Z3	0017148	negative regulation of translation
158594	Q9H4Z3	0045727	positive regulation of translation
