,entry_ac,go_id,go_descr
60901,Q9HAU0,0005829,cytosol
60902,Q9HAU0,0098978,glutamatergic synapse
60903,Q9HAU0,0016020,membrane
60904,Q9HAU0,0005654,nucleoplasm
60905,Q9HAU0,0014069,postsynaptic density
60906,Q9HAU0,0080025,"phosphatidylinositol-3,5-bisphosphate binding"
60907,Q9HAU0,0032266,phosphatidylinositol-3-phosphate binding
60908,Q9HAU0,0070273,phosphatidylinositol-4-phosphate binding
60909,Q9HAU0,0010314,phosphatidylinositol-5-phosphate binding
60910,Q9HAU0,0061458,reproductive system development
